iter	Passed	Remaining
0	16	16480
1	22	11349
2	27	9128
3	31	7917
4	36	7165
5	40	6662
6	44	6285
7	48	6009
8	52	5755
9	56	5564
10	60	5451
11	64	5319
12	68	5219
13	73	5171
14	77	5079
15	81	4985
16	84	4910
17	88	4851
18	93	4804
19	96	4729
20	100	4690
21	104	4661
22	108	4618
23	112	4567
24	116	4527
25	120	4500
26	124	4469
27	127	4438
28	131	4411
29	135	4394
30	139	4366
31	144	4357
32	148	4338
33	152	4320
34	155	4294
35	159	4269
36	163	4245
37	167	4229
38	170	4201
39	174	4196
40	178	4175
41	182	4163
42	186	4148
43	190	4129
44	193	4116
45	197	4103
46	202	4097
47	205	4080
48	209	4072
49	213	4055
50	217	4049
51	221	4036
52	225	4027
53	229	4014
54	233	4007
55	237	3997
56	241	3988
57	244	3979
58	249	3971
59	252	3958
60	256	3950
61	260	3936
62	263	3924
63	267	3914
64	271	3908
65	275	3897
66	279	3888
67	283	3884
68	286	3872
69	290	3862
70	294	3855
71	298	3848
72	302	3842
73	306	3835
74	310	3824
75	314	3819
76	317	3808
77	321	3801
78	325	3792
79	329	3783
80	332	3776
81	336	3771
82	340	3764
83	344	3757
84	348	3752
85	352	3745
86	356	3737
87	360	3732
88	364	3728
89	368	3722
90	371	3715
91	375	3706
92	379	3698
93	383	3694
94	387	3687
95	390	3679
96	394	3673
97	398	3670
98	402	3663
99	406	3656
100	410	3652
101	414	3647
102	418	3641
103	422	3636
104	426	3631
105	430	3627
106	433	3619
107	437	3615
108	441	3612
109	445	3605
110	449	3599
111	453	3594
112	457	3591
113	461	3584
114	465	3581
115	469	3577
116	473	3573
117	477	3566
118	481	3561
119	484	3553
120	488	3548
121	492	3542
122	496	3537
123	499	3530
124	503	3524
125	507	3518
126	510	3511
127	514	3506
128	519	3505
129	522	3499
130	526	3493
131	530	3491
132	534	3486
133	538	3483
134	542	3478
135	546	3473
136	550	3467
137	554	3466
138	558	3462
139	563	3458
140	566	3452
141	570	3448
142	574	3441
143	578	3437
144	581	3430
145	585	3425
146	589	3420
147	593	3415
148	597	3411
149	601	3406
150	605	3402
151	609	3399
152	613	3395
153	616	3389
154	620	3383
155	624	3378
156	628	3376
157	632	3373
158	637	3370
159	640	3364
160	644	3360
161	648	3356
162	652	3352
163	656	3347
164	660	3342
165	664	3337
166	668	3334
167	672	3329
168	676	3327
169	680	3323
170	684	3320
171	688	3316
172	692	3312
173	696	3308
174	700	3302
175	704	3299
176	708	3294
177	712	3290
178	716	3285
179	720	3281
180	724	3277
181	728	3273
182	732	3269
183	737	3268
184	740	3263
185	744	3258
186	748	3253
187	752	3249
188	756	3244
189	760	3241
190	764	3236
191	768	3232
192	772	3228
193	775	3223
194	779	3218
195	783	3214
196	787	3210
197	791	3204
198	795	3202
199	799	3196
200	803	3192
201	806	3186
202	810	3182
203	814	3177
204	818	3173
205	822	3169
206	826	3165
207	830	3160
208	834	3156
209	838	3152
210	842	3151
211	846	3146
212	850	3143
213	854	3139
214	858	3135
215	863	3132
216	866	3127
217	870	3122
218	874	3120
219	878	3115
220	882	3110
